Company,Symbol,Price,Market Cap,EV / Annualized Revenue,EV / Forward Revenue,Efficiency,Revenue Growth Rate,Gross Margin,LTM FCF Margin,SGA Margin,R&D Revenue,Sales Marketing Revenue,Rule of X
Fastly,FSLY,$8.62,"$1,177",2.4x,2.2x,15.7%,13.6%,54.8%,2.1%,61.0%,28.8%,37.8%,29.3%
Five9,FIVN,$50.51,"$3,731",3.9x,3.2x,22.6%,13.1%,53.6%,9.6%,44.7%,16.9%,32.1%,35.7%
Freshworks,FRSH,$13.29,"$3,971",4.2x,3.6x,37.0%,19.9%,84.3%,17.1%,85.7%,22.4%,58.6%,57.0%
Gitlab,GTLB,$56.99,"$9,056",12.2x,9.9x,38.4%,33.3%,90.2%,5.1%,86.5%,34.3%,60.8%,71.6%
HubSpot,HUBS,$594.86,"$30,316",12.0x,10.3x,37.7%,23.1%,84.6%,14.6%,60.2%,29.1%,48.9%,60.8%
JFrog,FROG,$33.25,"$3,605",7.6x,6.3x,48.2%,25.7%,79.5%,22.5%,60.6%,35.3%,42.8%,73.8%
Klaviyo,KVYO,$23.67,"$6,262",6.6x,5.2x,49.5%,34.5%,78.6%,14.9%,84.6%,37.7%,56.6%,84.0%
Monday.com,MNDY,$244.72,"$11,973",12.5x,9.9x,63.5%,33.7%,89.2%,29.8%,70.7%,20.9%,58.5%,97.2%
MongoDB,MDB,$355.18,"$26,052",13.8x,12.0x,33.1%,26.8%,75.0%,6.3%,58.0%,30.7%,46.5%,59.8%
nCino,NCNO,$30.89,"$3,532",7.1x,6.1x,24.1%,13.3%,60.2%,10.8%,42.3%,24.5%,27.4%,37.4%
Okta,OKTA,$98.74,"$16,608",6.5x,6.0x,39.5%,18.6%,76.0%,20.8%,65.7%,29.0%,45.8%,58.1%
Olo,OLO,$4.64,$745,1.5x,1.3x,24.3%,27.3%,55.9%,-3.0%,45.9%,29.0%,20.6%,51.6%
PagerDuty,PD,$19.59,"$1,873",4.0x,3.5x,25.8%,10.1%,81.7%,15.7%,71.8%,32.5%,45.7%,35.8%
Paycom,PAYC,$174.44,"$9,866",4.7x,4.3x,25.1%,10.7%,87.3%,14.4%,34.7%,11.9%,24.7%,35.8%
Paylocity,PCTY,$164.19,"$9,265",5.5x,4.9x,40.3%,18.1%,71.2%,22.2%,37.7%,14.1%,26.1%,58.4%
PayPal,PYPL,$61.58,"$64,416",2.0x,1.9x,25.5%,9.4%,39.1%,16.2%,12.5%,9.8%,5.9%,34.9%
Procore,PCOR,$68.17,"$9,975",8.6x,7.3x,37.5%,26.2%,83.2%,11.3%,68.7%,28.2%,48.9%,63.6%
Q2,QTWO,$61.49,"$3,696",5.9x,5.3x,19.3%,8.2%,49.7%,11.1%,36.5%,21.6%,16.8%,27.5%
Qualys,QLYS,$146.25,"$5,402",8.4x,7.6x,55.6%,11.6%,81.3%,44.0%,31.4%,19.3%,20.3%,67.1%
Ringcentral,RNG,$34.54,"$3,184",2.0x,1.8x,25.1%,9.5%,70.8%,15.7%,61.6%,15.2%,49.9%,34.6%
Salesforce,CRM,$278.57,"$270,213",7.3x,6.7x,36.3%,10.8%,76.9%,25.6%,44.2%,14.1%,36.9%,47.1%
Samsara,IOT,$39.47,"$21,729",19.0x,15.8x,46.0%,48.1%,75.0%,-2.1%,72.7%,27.6%,51.9%,94.1%
SentinelOne,S,$21.72,"$6,768",8.4x,6.5x,28.1%,38.1%,72.3%,-10.0%,95.9%,35.1%,63.9%,66.3%
ServiceNow,NOW,$758.15,"$155,710",14.3x,12.0x,54.7%,24.2%,80.0%,30.5%,45.2%,23.6%,35.9%,78.9%
Shopify,SHOP,$57.64,"$74,278",9.4x,7.8x,37.5%,23.4%,51.4%,14.1%,22.9%,20.1%,17.0%,60.9%
Smartsheet,SMAR,$40.73,"$5,607",4.9x,4.2x,36.1%,21.0%,81.9%,15.1%,69.0%,24.4%,53.3%,57.1%
Snowflake,SNOW,$154.58,"$51,791",14.4x,12.0x,58.8%,32.9%,67.1%,25.9%,59.8%,47.2%,48.5%,91.7%
Sprinklr,CXM,$11.99,"$3,241",3.4x,3.1x,25.6%,17.5%,75.5%,8.1%,58.4%,12.5%,43.9%,43.0%
Sprout Social,SPT,$31.92,"$1,805",4.6x,3.9x,30.4%,28.7%,76.8%,1.7%,71.6%,24.1%,49.5%,59.1%
Squarespace,SQSP,$43.42,"$5,965",5.6x,4.9x,39.5%,18.6%,71.3%,20.9%,46.7%,23.7%,34.6%,58.1%
Tenable,TENB,$43.13,"$5,127",5.8x,5.1x,32.8%,14.4%,77.3%,18.5%,61.3%,19.2%,48.0%,47.2%
Toast,TOST,$25.38,"$14,090",3.0x,2.4x,34.2%,31.3%,23.3%,2.9%,18.5%,8.6%,9.9%,65.4%
Twilio,TWLO,$58.93,"$10,087",1.8x,1.6x,20.7%,4.0%,52.0%,16.6%,34.4%,22.8%,23.3%,24.7%
UiPath,PATH,$19.04,"$10,902",5.6x,4.7x,49.3%,31.3%,86.9%,18.0%,71.6%,25.1%,54.1%,80.7%
Veeva Systems,VEEV,$204.58,"$33,063",11.5x,10.1x,47.0%,11.9%,72.4%,35.1%,26.6%,26.6%,16.1%,59.0%
Wix,WIX,$165.21,"$9,247",5.6x,4.9x,28.0%,12.2%,67.3%,15.8%,35.5%,30.5%,25.4%,40.2%
Workday,WDAY,$260.90,"$69,214",8.2x,7.2x,43.2%,18.1%,75.4%,25.1%,38.8%,33.3%,29.0%,61.3%
Workiva,WK,$80.72,"$4,425",6.2x,5.5x,29.5%,17.0%,76.4%,12.5%,56.3%,25.8%,45.2%,46.5%
Yext,YEXT,$5.15,$649,1.3x,1.3x,10.0%,-0.8%,78.6%,10.7%,62.1%,17.8%,44.2%,9.2%
Zoom,ZM,$62.42,"$19,305",2.6x,2.6x,39.3%,3.2%,76.1%,36.0%,42.9%,17.5%,32.2%,42.5%
Zoominfo,ZI,$12.82,"$4,794",4.6x,4.3x,36.1%,3.1%,89.1%,33.0%,49.1%,15.3%,32.2%,39.2%
Zscaler,ZS,$171.91,"$25,762",11.7x,9.4x,60.9%,35.4%,77.8%,25.4%,64.2%,22.2%,54.0%,96.3%
Zuora,ZUO,$10.20,"$1,511",3.1x,2.9x,3.9%,6.5%,68.2%,-2.6%,54.0%,24.0%,36.6%,10.3%
